Test Function,Model,Number of Samples,Coefficient of Determination,MAPE
0,BasicGPRegression,5,0.938635528087616,145192680000000.0
0,BasicGPRegression,10,0.9690144062042236,63693786000000.0
0,BasicGPRegression,15,0.9382094740867615,30383375000000.0
0,BasicGPRegression,20,0.9353071451187134,114026130000000.0
0,BasicGPRegression,25,0.8955467343330383,176355800000000.0
0,BasicGPRegression,30,0.8798195123672485,179433130000000.0
0,BasicGPRegression,35,0.8767979145050049,164431970000000.0
0,BasicGPRegression,40,0.8372512459754944,217912400000000.0
0,BasicGPRegression,45,0.825505256652832,72990120000000.0
0,BasicGPRegression,50,0.8105670809745789,245288070000000.0
0,BasicGPRegression,55,0.8018797636032104,247008590000000.0
0,BasicGPRegression,60,0.7777508497238159,230184930000000.0
0,BasicGPRegression,65,0.765325129032135,268763800000000.0
0,BasicGPRegression,70,0.7303580045700073,324210670000000.0
0,BasicGPRegression,75,0.7262814044952393,286264230000000.0
0,BasicGPRegression,80,0.706721305847168,311061300000000.0
0,BasicGPRegression,85,0.6969963312149048,210692930000000.0
0,BasicGPRegression,90,0.6843073964118958,327081360000000.0
0,BasicGPRegression,95,0.672095775604248,307928350000000.0
0,BasicGPRegression,100,0.6544862389564514,373455020000000.0
0,BasicGPRegression,105,0.6464474201202393,331413200000000.0
0,BasicGPRegression,110,0.6262376308441162,76291410000000.0
0,BasicGPRegression,115,0.6190534830093384,403446200000000.0
0,BasicGPRegression,120,0.5987866520881653,418082080000000.0
0,BasicGPRegression,125,0.5886363983154297,366557670000000.0
0,BasicGPRegression,130,0.579672634601593,430293480000000.0
0,BasicGPRegression,135,0.5612213015556335,443631430000000.0
0,BasicGPRegression,140,0.5609997510910034,441403500000000.0
0,BasicGPRegression,145,0.548937201499939,452355180000000.0
0,BasicGPRegression,150,0.5381355881690979,458608400000000.0
0,BasicGPRegression,155,0.5255782604217529,196387230000000.0
0,BasicGPRegression,160,0.5195194482803345,350755300000000.0
0,BasicGPRegression,165,0.5135791301727295,383036830000000.0
0,BasicGPRegression,170,0.504019558429718,49373300000000.0
0,BasicGPRegression,175,0.5041613578796387,481481870000000.0
0,BasicGPRegression,180,0.4914882779121399,400470540000000.0
0,BasicGPRegression,185,0.4776177406311035,448718800000000.0
0,BasicGPRegression,190,0.4709498882293701,493257530000000.0
0,BasicGPRegression,195,0.47085249423980713,496700650000000.0
1,BasicGPRegression,5,-0.004055619239807129,125881140000000.0
1,BasicGPRegression,10,-0.026346921920776367,201059030000000.0
1,BasicGPRegression,15,0.2622925639152527,174736600000000.0
1,BasicGPRegression,20,0.4883483052253723,118499400000000.0
1,BasicGPRegression,25,0.4388359785079956,135408710000000.0
1,BasicGPRegression,30,0.4092997908592224,150045890000000.0
1,BasicGPRegression,35,0.5356292724609375,103117930000000.0
1,BasicGPRegression,40,0.5108450651168823,121167320000000.0
1,BasicGPRegression,45,0.5046248435974121,128854010000000.0
1,BasicGPRegression,50,0.5449265837669373,111876540000000.0
1,BasicGPRegression,55,0.543991208076477,116454305000000.0
1,BasicGPRegression,60,0.5240763425827026,128988570000000.0
1,BasicGPRegression,65,0.5678154230117798,114944140000000.0
1,BasicGPRegression,70,0.5781114101409912,112947580000000.0
1,BasicGPRegression,75,0.6134852170944214,103364880000000.0
1,BasicGPRegression,80,0.6294671297073364,99366330000000.0
1,BasicGPRegression,85,0.6529531478881836,85429315000000.0
1,BasicGPRegression,90,0.6546805500984192,98492410000000.0
1,BasicGPRegression,95,0.6522207260131836,106906990000000.0
1,BasicGPRegression,100,0.6897077560424805,93965340000000.0
1,BasicGPRegression,105,0.7133517265319824,75774680000000.0
1,BasicGPRegression,110,0.7343204021453857,81921020000000.0
1,BasicGPRegression,115,0.7478786706924438,81408940000000.0
1,BasicGPRegression,120,0.7477448582649231,94075395000000.0
1,BasicGPRegression,125,0.7898472547531128,75488290000000.0
1,BasicGPRegression,130,0.81595778465271,69501720000000.0
1,BasicGPRegression,135,0.8040940761566162,90031770000000.0
1,BasicGPRegression,140,0.8594449758529663,64962412000000.0
1,BasicGPRegression,145,0.8775122761726379,66714243000000.0
1,BasicGPRegression,150,0.8988653421401978,63865044000000.0
1,BasicGPRegression,155,0.9302626848220825,52292435000000.0
1,BasicGPRegression,160,0.9547638893127441,44136600000000.0
1,BasicGPRegression,165,0.9791825413703918,28007610000000.0
1,BasicGPRegression,170,0.992421567440033,4408852000000.0
1,BasicGPRegression,175,0.9965585470199585,4928461300000.0
1,BasicGPRegression,180,0.9970257878303528,4477707000000.0
1,BasicGPRegression,185,0.9963669180870056,4812960000000.0
1,BasicGPRegression,190,0.9980977773666382,3131983000000.0
1,BasicGPRegression,195,0.9976550936698914,3729355700000.0
2,BasicGPRegression,5,0.9999995827674866,6096260600.0
2,BasicGPRegression,10,0.3919298052787781,717551040000.0
